accountsservice 0.6.55-1
transmission-cli-git 2.94.r435.g3d9fd2526-1
transmission-gtk 2.94-2
tree 1.8.0-1
ttf-adobe-source-fonts 3.006R+3.001R+2.030R+ro+1.050R+it-3
ttf-bitstream-vera 1.10-12
ttf-dejavu 2.37-2
ttf-droid 20121017-7.2
ttf-fira-code 2-1
ttf-font-awesome 5.12.1-1
ttf-font-awesome-4 4.7.0-5
ttf-inconsolata 1:2.0.0.1-3
ttf-indic-otf 0.2-9
ttf-iosevka 2.3.3-1
ttf-jetbrains-mono-git 1.0.2-1
ttf-liberation 2.1.0-1
tty-clock 2.3-1
udiskie 2.1.0-1
ufetch-git 1:r153.9831ec2-1
unclutter 1:1.5-1
unrar 1:5.9.1-1
unzip 6.0-13
upower 0.99.11-1
usbutils 012-2
util-linux 2.35.1-1.1
valgrind 3.15.0-1
vertex-maia-themes 20180519-4
vi 1:070224-4
vibrancy-icons-teal 2.7-1
viewnior 1.7-2
vim 8.2.0343-1
vimiv-git r847.a39702b-1
virtualbox 6.1.4-2
virtualbox-ext-oracle 6.1.4-1
virtualbox-guest-dkms 6.1.4-2
virtualbox-guest-iso 6.1.4-1
virtualbox-guest-utils 6.1.4-2
virtualbox-host-dkms 6.1.4-2
visual-studio-code-bin 1.43.0-1
vmware-keymaps 1.0-1
volumeicon 0.5.1-4
vpn-unlimited 4.23-4
w3m 0.5.3.git20190105-1
wget 1.20.3-2
which 2.21-5
wireshark-qt 3.2.2-1
wmutils 1:1.4-1
wpa_supplicant 2:2.9-7
wpgtk-git r777.cc5ac8e-1
xarchiver 0.5.4.14-1
xautolock 2.2-5
xclip 0.13-2
xcursor-chameleon-pearl 0.5-4
xcursor-maia 20160417-1
xcursor-themes 1.0.6-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-2
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-keyboard 1.9.0-3
xf86-input-libinput 0.29.0-1
xf86-input-mouse 1.9.3-1
xf86-input-void 1.4.1-4
xfburn 0.6.1-1
xfce4-power-manager 1.6.5-2
xfsprogs 5.4.0-1
xorg-server 1.20.7-1
xorg-twm 1.0.10-1
xorg-xbacklight 1.2.3-1
xorg-xev 1.2.3-1
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xkill 1.0.5-1
xorg-xprop 1.2.4-1
xterm 353-1
xwobf-git 0.r17.4ff96e3-1
yay 9.4.6-1
zathura 0.4.5-1
zathura-pdf-mupdf 0.3.5-2
zip 3.0-8
zsh 5.8-1
zsh-syntax-highlighting-git 0.6.0.r258.gbe3882a-1
